G.006; 421.76; 0.0; 34.0; 21.78; 21.78; 
G.007; 408.0; 0.0; 27.0; 21.1; 21.1; 
G.009; 419.84; 0.0; 34.0; 0.0; 0.0; 
G.012; 409.92; 0.0; 33.0; 21.24; 21.24; 
G.019; 418.88; 0.0; 28.0; 20.46; 20.46; 
G.020; 408.96; 1.0; 29.0; 22.34; 22.34; 
G.021; 448.0; 1.0; 32.0; 21.08; 21.08; 
G.022; 530.88; 1.0; 32.0; 530.88; 530.88; 
G.044; 435.84; 0.0; 31.0; 22.54; 22.54; 
G.054; 435.84; 0.0; 44.0; 20.68; 20.68; 
G.069; 408.0; 0.0; 31.0; 19.68; 19.68; 
1.005; 457.92; 1.0; 28.0; 312.32; 312.32; 
1.009; 425.92; 0.0; 37.0; 22.62; 22.62; 
1.010; 420.8; 1.0; 28.0; 309.76; 309.76; 
1.018; 465.92; 0.0; 31.0; 744.96; 744.96; 
1.024; 432.96; 0.0; 38.0; 21.22; 21.22; 
1.024; 408.0; 1.0; 31.0; 81.92; 81.92; 
1.024; 398.72; 0.0; 31.0; 21.02; 21.02; 
1.024; 403.84; 1.0; 30.0; 506.88; 506.88; 
1.024; 401.92; 1.0; 30.0; 386.56; 386.56; 
1.024; 410.88; 1.0; 31.0; 924.16; 924.16; 
1.024; 409.92; 1.0; 29.0; 540.16; 540.16; 
1.024; 410.88; 1.0; 29.0; 783.36; 783.36; 
1.024; 408.0; 0.0; 35.0; 168.96; 168.96; 
1.024; 421.76; 0.0; 39.0; 184.32; 184.32; 
1.025; 412.8; 0.0; 36.0; 10823.7; 10823.7; 
1.025A; 406.72; 0.0; 31.0; 20.46; 20.46; 
1.026; 412.8; 0.0; 36.0; 53.76; 53.76; 
1.025B; 400.96; 0.0; 30.0; 20.06; 20.06; 
1.042; 404.8; 0.0; 28.0; 215.04; 215.04; 
1.042; 402.88; 0.0; 29.0; 163.84; 163.84; 
1.043; 448.96; 1.0; 30.0; 48.64; 48.64; 
2.008; 448.96; 1.0; 28.0; 0.392157; 399.36; 
2.014; 410.88; 1.0; 29.0; 10.1961; 570.88; 
2.015; 528.96; 0.0; 27.0; 0.0; 693.76; 
2.017; 433.92; 0.0; 26.0; 0.0; 9236.48; 
2.019; 430.72; 1.0; 27.0; 22.88; 22.88; 
2.019; 414.72; 0.0; 30.0; 4262.4; 4262.4; 
2.019; 449.92; 1.0; 28.0; 463.36; 463.36; 
2.022; 424.0; 0.0; 29.0; 2209.28; 2209.28; 
2.058; 432.96; 0.0; 30.0; 0.0; 261.12; 
2.058; 440.0; 0.0; 31.0; 0.0; 192.0; 
2.060; 410.88; 0.0; 26.0; 0.0; 99.84; 
3.004; 410.88; 0.0; 28.0; 21.5; 21.5; 
3.005; 480.0; 1.0; 36.0; 22.0; 1738.24; 
3.005; 498.88; 1.0; 38.0; 22.24; 1525.76; 
3.005; 424.0; 1.0; 39.0; 21.92; 1277.44; 
3.005; 440.96; 1.0; 33.0; 21.56; 1681.92; 
3.007; 464.0; 1.0; 27.0; 21.7; 21.7; 
3.014; 452.8; 1.0; 27.0; 21.58; 21.58; 
3.015; 428.8; 1.0; 22.0; 22.42; 250.88; 
3.015; 427.84; 1.0; 23.0; 23.58; 440.32; 
3.015; 420.8; 1.0; 23.0; 22.98; 384.0; 
3.015; 461.76; 1.0; 25.0; 23.68; 529.92; 
3.015; 425.92; 1.0; 23.0; 23.1; 360.96; 
3.015; 440.96; 1.0; 23.0; 23.82; 1525.76; 
3.015; 432.96; 1.0; 22.0; 23.78; 435.2; 
3.015; 440.0; 1.0; 22.0; 23.84; 911.36; 
3.015; 430.72; 1.0; 21.0; 23.38; 384.0; 
3.018; 424.96; 1.0; 26.0; 22.12; 1664.0; 
3.018; 424.0; 0.0; 25.0; 21.5; 99.84; 
3.018; 481.92; 1.0; 26.0; 22.02; 1128.96; 
3.018; 436.8; 1.0; 27.0; 21.5; 179.2; 
3.022; 406.72; 1.0; 25.0; 20.58; 20.58; 
3.029; 406.72; 1.0; 24.0; 18.62; 18.62; 
3.030; 400.96; 1.0; 26.0; 17.58; 17.58; 
3.031; 409.92; 1.0; 24.0; 20.12; 20.12; 
3.032; 411.84; 0.0; 31.0; 22.7; 22.7; 
3.033; 426.88; 1.0; 33.0; 22.84; 22.84; 
3.033; 436.8; 1.0; 25.0; 23.14; 23.14; 
3.048; 418.88; 1.0; 26.0; 286.72; 286.72; 
3.049; 412.8; 1.0; 32.0; 71.68; 71.68; 
3.049; 482.88; 1.0; 30.0; 22.72; 22.72; 
3.049; 414.72; 1.0; 26.0; 22.82; 22.82; 
3.049; 408.0; 0.0; 27.0; 23.04; 23.04; 
3.049; 408.96; 0.0; 25.0; 22.62; 22.62; 
3.050; 462.72; 1.0; 25.0; 586.24; 586.24; 
4.004; 568.0; 1.0; 3248.0; 23.5; 23.5; 
4.005; 438.72; 1.0; 3898.0; 65.4902; 10137.6; 
4.005; 444.8; 1.0; 3198.0; 100.0; 4833.28; 
4.005; 436.8; 1.0; 3198.0; 0.392157; 1648.64; 
4.015; 422.72; 1.0; 3348.0; 0.0; 1036.8; 
4.018; 442.88; 1.0; 3248.0; 1367.04; 1367.04; 
4.020; 408.96; 1.0; 3298.0; 21.02; 21.02; 
4.021; 416.96; 1.0; 3298.0; 21.0; 21.0; 
4.026; 428.8; 1.0; 25.0; 21.54; 21.54; 
4.034; 424.96; 0.0; 27.0; 19.6; 19.6; 
4.035; 417.92; 1.0; 26.0; 10.9804; 20.82; 
4.036; 409.92; 0.0; 23.0; 21.52; 21.52; 
