3.015; 5; 403.84; 1.0; 39.0; 24.06; 0.0; 20220713; 230621; 
3.015; 6; 395.84; 0.0; 39.0; 23.62; 0.0; 20220713; 230621; 
3.015; 7; 419.84; 1.0; 41.0; 24.16; 0.0; 20220713; 230621; 
3.015; 8; 404.8; 0.0; 38.0; 23.82; 0.0; 20220713; 230621; 
3.015; 9; 408.0; 0.0; 41.0; 23.66; 0.0; 20220713; 230621; 
3.018; 1; 418.88; 0.0; 45.0; 22.96; 0.0; 20220713; 230621; 
3.018; 2; 411.84; 0.0; 47.0; 22.66; 0.0; 20220713; 230621; 
3.018; 3; 414.72; 0.0; 46.0; 22.46; 0.0; 20220713; 230621; 
3.018; 4; 406.72; 0.0; 46.0; 22.18; 0.0; 20220713; 230621; 
3.022; 0; 405.76; 0.0; 43.0; 23.0; 0.0; 20220713; 230621; 
3.029; 0; 400.0; 1.0; 42.0; 22.26; 0.0; 20220713; 230621; 
3.030; 0; 398.72; 1.0; 46.0; 22.68; 0.0; 20220713; 230621; 
3.031; 0; 408.0; 0.0; 46.0; 22.5; 0.0; 20220713; 230621; 
3.032; 0; 401.92; 0.0; 45.0; 23.68; 0.0; 20220713; 230621; 
3.033; 2; 410.88; 0.0; 42.0; 24.1; 0.0; 20220713; 230621; 
3.033; 3; 408.96; 0.0; 42.0; 24.26; 0.0; 20220713; 230621; 
3.048; 0; 413.76; 0.0; 41.0; 24.32; 307.2; 20220713; 230621; 
3.049; 1; 404.8; 0.0; 42.0; 24.5; 0.0; 20220713; 230621; 
3.049; 2; 424.96; 1.0; 44.0; 24.14; 0.0; 20220713; 230621; 
3.049; 3; 394.88; 1.0; 40.0; 24.26; 0.0; 20220713; 230621; 
3.049; 4; 395.84; 1.0; 43.0; 23.72; 0.0; 20220713; 230621; 
3.049; 5; 398.72; 1.0; 40.0; 24.12; 0.0; 20220713; 230621; 
3.050; 0; 394.88; 1.0; 43.0; 23.04; 1223.68; 20220713; 230621; 
4.022; 1; 390.72; 1.0; 39.0; 24.76; 0.0; 20220713; 230621; 
